INC000000984983;IBERIA EXPRESS;IBERIA EXPRESS;01/02/2018 0:23;19/02/2018 16:47;Resolved;Error de Emisión;AM_MTO_IBCOM;Application Tower;Ib.com;Media;3-Medio;[19/02/2018] NIIT.mpsingh Closing Issue as there is no reply after 3 chasers [07/2/2018] NiiT.mpsingh Chased Melania for update [02/02/2018] NIIT.mpsingh Requested user to close the incident;MANTENIMIENTO IB.COM;INCIDENT;19/02/2018;SOFTWARE FAILURE;;18;MADRID / ALCAÑIZ;
INC000000984984;IBERIA;IBERIA;01/02/2018 0:12;01/02/2018 0:12;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (VUELO);FLOTA A320 (AVVIC0A0)
INC000000984985;IBERIA;IBERIA;01/02/2018 0:14;01/02/2018 0:14;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (VUELO);FLOTA A320 (AVVIC0A0)
INC000000984987;IBERIA;IBERIA;01/02/2018 2:14;01/02/2018 7:24;Resolved;[Gaudi Realtime]Error MVT vuelos de llegada;AIRPORT2;Application Tower;Aeropuertos;Crítica;1-Crítica;Al no haber mas casos reportados por el usuario,nos indican en el centro de soporte que se puede resolver la incidencia.;Mantenimiento Aeropuertos;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;TALLER MOTORES;D. TÉCNICA (AM0000)
INC000000984988;OTHERS;BRITISH AIRWAYS;01/02/2018 0:27;13/02/2018 11:25;Resolved;LHRSBC - Generic Incident;SSI;Service Ops Tower;Service Ops Tower;Media;3-Medio;;Unidad Control del Servicio;INCIDENT;19/02/2018;SOFTWARE FAILURE;;12;SIN IDENTIFICAR;
INC000000984989;IBERIA;IBERIA;01/02/2018 1:06;01/02/2018 1:06;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;0;TFS AEROPUERTO;PASAJEROS TENERIFE SUR (AHALUSPA)
INC000000984991;IBERIA;IBERIA;01/02/2018 1:42;02/02/2018 16:12;Resolved;Caida de linea back up Tenerife;WAN;Network Tower;Network Tower;Media;3-Medio;Un técnico de AENA se ha acercado a la sala donde se encuentra el equipo y ha restaurado la corriente.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02/02/2018;COMMUNICATIONS FAILURE;;1;SIN IDENTIFICAR;
INC000000984992;IBERIA EXPRESS;IBERIA EXPRESS;01/02/2018 5:17;01/02/2018 8:53;Resolved;CICLOPE - CARGA DE MATRICULAS EN RESIBER IBERIA EXPRESS 01FEB;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Media;3-Medio;ACCIONES: Llamamos a usuario y nos indica que ya están todas las matriculas cargadas. El origen de la mensajería (MEDUSA) estaba parado y no había enviado los mensajes Flight Details. PRUEBAS: no aplica. IMPACTO: sin impacto.;Mantenimiento Operaciones;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;
INC000000984999;IBERIA;IBERIA;01/02/2018 4:23;01/02/2018 10:35;Resolved;CICLOPE- Error en la generación del PAXCR;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Media;3-Medio;Análisis de impacto: No aplica Acciones realizadas: El problema es que chekin envía los días 1 dos veces el fichero y por eso ha saltado la alerta Pruebas realizadas: Se comprueba que es fichero se ha cargado correctamente;Mantenimiento Operaciones;INCIDENT;01/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000985015;IBERIA;IBERIA;01/02/2018 7:51;02/02/2018 10:25;Resolved;Ausencia de empleados en Produccion en Real Time;AIRPORT2;Application Tower;Aeropuertos;Alta;2-Alta;Finalmente, de manera manual, en la BBDD Rostering RC Transfer en la tabla TB_RC_TO_RTC_TRANSFER se ha borrado el día de envío a Real Time y se ha comenzado a enviar de nuevo automáticamente. Confirmamos con los usuarios que la incidencia queda reuelta.;Mantenimiento Aeropuertos;INCIDENT;02/02/2018;SOFTWARE FAILURE;;1;TERMINAL T4;LABORATORIO GAUDI (AHMH00LG)
INC000000985016;IBERIA;IBERIA;01/02/2018 7:48;01/02/2018 7:48;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;01/02/2018;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000985017;IBERIA;IBERIA;01/02/2018 7:56;01/02/2018 8:00;Resolved;Solicita desbloqueo de usuario SAP.;SSCCLMZ;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Reseteo SAP;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;TALLER MOTORES;EQUIPO CALIDAD ESTRUC. AV (AMIR00C0)
INC000000985018;IBERIA;IBERIA;01/02/2018 8:04;01/02/2018 9:01;Resolved;Unusual behaviour IB IATCI link to Aer Lingus (Monday 29/1/18);Stratus;Network Tower;Network Tower;Media;3-Medio;It working fine now;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;SISTEMAS(MANDOS-ANÁLISIS-PRODU;TELEC Y GEST. PUEST TRAB (ASXM00CP)
INC000000985019;IBERIA;IBERIA;01/02/2018 8:13;01/02/2018 14:12;Resolved;[GPR009] User doesn't receive notifications or INc from Remedy groups;Remedy /BMC Support;Application Tower;HerramientasIT;Baja;4-Baja;updated user's email ID in People profile;Mantenimiento Herramientas IT & DBAs;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;
INC000000985020;IBERIA;IBERIA;01/02/2018 8:07;01/02/2018 8:07;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se le reinicia al usuario la contraseña siguiendo el proceso de seguridad, mediante retrollamada.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;NEO-MARTINEZ VILLERGAS 49;SM DESARROLLO RED LARGO R (ACDLR1)
INC000000985021;IBERIA;IBERIA;01/02/2018 8:03;01/02/2018 8:03;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;0;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);DEPT. SUBCONTRATOS Y PROG (AMICI0AA)
INC000000985022;IBERIA;IBERIA;01/02/2018 13:21;01/02/2018 13:21;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;01/02/2018;PERFORMANCE ISSUE;;0;HANGAR 5;MGR. COORDINACIÓN Y UTILL (AMIRD6)
INC000000985023;IBERIA;IBERIA;01/02/2018 8:08;01/02/2018 11:10;Resolved;Solicita desbloqueo de usuario SAP.;SSCCLMZ;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Reseteo SAP;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;HANGAR 5;MNG. HANGAR 6 CAD5 (AMIRD5)
INC000000985024;IBERIA;IBERIA;01/02/2018 8:18;01/02/2018 13:29;Resolved;Le pide constantemente la contraseña en el correo electrónico.;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;Issue: outlook issue. Resolution:We connected to the user machine in remote and reconfigured the outlook profile. Now the issue has been resolved .Hence we are closing this ticket with user confirmation.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);DEPT. SUBCONTRATOS Y PROG (AMICI0AA)
INC000000985025;OTHERS;BRITISH AIRWAYS;01/02/2018 8:10;01/02/2018 9:11;Resolved;TEST BA_IB 310118;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;;Unidad Control del Servicio;INCIDENT;07/02/2018;DEFAULT;;0;SIN IDENTIFICAR;
INC000000985026;IBERIA;IBERIA;01/02/2018 8:32;01/02/2018 8:32;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (MADRID BARAJAS);PROD.T123_PAX_SUPERV. (AHMTS01V)
INC000000985027;IBERIA;IBERIA;01/02/2018 8:22;01/02/2018 8:22;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;TALLER MOTORES;MONTAJE (AMITM0EA)
INC000000985028;IBERIA;IBERIA;01/02/2018 8:30;02/02/2018 9:32;Resolved;Fallo Software: Falla en correo.;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;Issue :Issue with outlook. User cant able to receive emails with images Device Details :COMOLETACION4 Cause :Problem due to outlook profile corruption Trouble shooting done :Recreated the outlook profile and now issue sorted out Resolution:Issue resolved after outlook profile reconfiguration and closingthis case with user confirmation;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02/02/2018;SOFTWARE FAILURE;;1;TALLER MOTORES;COMPLETACION CFM (AMITJ0CA)
INC000000985029;IBERIA;IBERIA;01/02/2018 8:30;01/02/2018 10:55;Resolved;OBHCIP: KO proceso MEMBERS;Aplicaciones BI;Application Tower;BI;Baja;4-Baja;Issue: Error in execution of CLM_EXPORT file as file for 31st Jan 18 is not received from ICW Business Impact: Delay in file execution is critical to Iberia cards since it holds data of the active customers in Spain based on which business rules are created to calculate the accrued points, programs etc. Analysis: File arrived late due to which the sequence of the files have changed due to which IBCARDS was not able to identify the files with respect to the date and sequence number generated..Therefore manually re ran the member files. Resolution: Re ran the ODI Load plan for Member's file to successfully process the file. PROBLEM TICKET REQUIRED? : No. The File was delayed from the source Team and therefore, no issue with the application. CAN THIS ISSUE BE PREVENTED?: No. As the files are received from the source Team. There was delay in sending the files due to which the load Plan failed.;Mantenimiento BI;INCIDENT;05/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000985030;IBERIA;IBERIA;01/02/2018 8:29;02/02/2018 22:16;Resolved;Mail message from CONTROL-M: Ha fallado el job F49O807 en zlc , avisar en horario laboral a USCIBMAM;USCIBMAM;Application Tower;Cobol Domain;Baja;4-Baja;Issue: Fallo F49O807 Impact: Bajo Root Causes: Fallo por no existencia en la tabla TIPFTTC. Steps taken: Se insertan los registros en la tabla IPFTTC a partir de la IPFCRF;Mantenimiento COBOL;INCIDENT;02/02/2018;PROCESS FAILURE;BATCH;1;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000000985031;IBERIA;IBERIA;01/02/2018 8:32;01/02/2018 10:54;Resolved;OBHCIP: KO proceso CLM_EXPORT;Aplicaciones BI;Application Tower;BI;Baja;4-Baja;Issue: Error in execution of CLM_EXPORT file as file for 31st Jan 18 is not received from ICW Business Impact: Delay in file execution is critical to Iberia cards since it holds data of the active customers in Spain based on which business rules are created to calculate the accrued points, programs etc. Analysis: File arrived late due to which the sequence of the files have changed due to which IBCARDS was not able to identify the files with respect to the date and sequence number generated..Therefore manually re ran the member files. Resolution: Re ran the ODI Load plan for Member's file to successfully process the file. PROBLEM TICKET REQUIRED? : No. The File was delayed from the source Team and therefore, no issue with the application. CAN THIS ISSUE BE PREVENTED?: No. As the files are received from the source Team. There was delay in sending the files due to which the load Plan failed.;Mantenimiento BI;INCIDENT;05/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000985032;IBERIA;IBERIA;01/02/2018 9:00;13/02/2018 9:30;Resolved;Fallo Software: Error acceso web Aerolinea UNITED;IAG EUC Support;EUC;EUC;Baja;4-Baja;Se cierra la incidencia por imposibilidad de contacto con el usuario. Si se desea reabrir el ticket, indiquenos teléfono y hora de contacto deseada.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;13/02/2018;SOFTWARE FAILURE;;12;TALLER MOTORES;INGENIERIA RB211 (AMITR0E0)
INC000000985033;IBERIA;IBERIA;01/02/2018 8:49;02/02/2018 14:11;Resolved;Bloqueo Constante del usuario;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;called user cleared temp saved credentials and wifi network Hence closing the incident;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02/02/2018;ACCESS FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;DELEG COMER CENTRO Y NORT (ACVEM0)
INC000000985035;IBERIA;IBERIA;01/02/2018 8:48;07/02/2018 15:55;Resolved;El icono donde pinchan para fichar está ausente.;JAVA Apps Support;Application Tower;RRHH;Baja;4-Baja;se comprueba que el usuario tiene visible ese clanal. se adjunta devolución del servicio;Mantenimiento Corporativa y RRHH;INCIDENT;07/02/2018;SOFTWARE FAILURE;;6;TERMINAL T4;ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000000985037;IBERIA;IBERIA;01/02/2018 9:10;01/02/2018 9:48;Resolved;FALLO Desa/Desa;SSI;Service Ops Tower;Service Ops Tower;Media;3-Medio;Usuario nos confirma que ya esta resuelta la INC. Adj mail;Unidad Control del Servicio;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;
INC000000985038;IBERIA;IBERIA;01/02/2018 9:49;01/02/2018 13:36;Resolved;Dispositivo averiado.;Mobiles;Network Tower;Network Tower;Baja;4-Baja;Reconfigurar.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;01/02/2018;TELEPHONY FAILURE;DEVICE;0;TERMINAL T4;ASIST. AVION_CYD_SPV.JEFE (AHMDR03F)
INC000000985039;IBERIA;IBERIA;01/02/2018 9:03;01/02/2018 9:03;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente mediante correo electrónico.;Unidad Control del Servicio;INCIDENT;01/02/2018;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000000985040;IBERIA;IBERIA;01/02/2018 9:00;01/02/2018 9:00;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000985042;IBERIA;IBERIA;01/02/2018 9:08;02/02/2018 13:06;Resolved;Fallo Software: Ordenador lento.;IAG EUC Support;EUC;EUC;Baja;4-Baja;Se ha vuelto a plataformar el equipo y se han volcado los datos.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02/02/2018;SOFTWARE FAILURE;;1;NEO-MARTINEZ VILLERGAS 49;MNG. GEST. SERV. R.H. (3YRC00)
INC000000985043;IBERIA;IBERIA;01/02/2018 9:26;12/02/2018 17:53;Resolved;CCI006: Sample file;Aplicaciones BI;Application Tower;BI;Baja;4-Baja;Análisis: se estudia el alcance Acciones: comprobaciones datastage, acciones Linux y reprocesos Pruebas:ok;Mantenimiento BI;INCIDENT;12/02/2018;SOFTWARE FAILURE;;11;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000985044;IBERIA;IBERIA;01/02/2018 10:17;01/02/2018 13:12;Resolved;Ficha de empleado no le aparece;JAVA Apps Support;Application Tower;RRHH;Baja;4-Baja;se comprueba que ya está todo correcto, se recibe confirmación del usuario.;Mantenimiento Corporativa y RRHH;INCIDENT;02/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;0;TERMINAL T4;ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000000985045;IBERIA;IBERIA;01/02/2018 10:15;01/02/2018 10:15;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente mediante correo electrónico.;Unidad Control del Servicio;INCIDENT;01/02/2018;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000985046;IBERIA;IBERIA;01/02/2018 9:19;01/02/2018 9:19;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente mediante correo electrónico.;Unidad Control del Servicio;INCIDENT;01/02/2018;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000985047;IBERIA;IBERIA;01/02/2018 9:17;05/02/2018 10:37;Resolved;LINUX_sun - In the last 3600 seconds there are more than 100 traces with elapsed time over 60 second;SERVICIOS_CKI_GAR;Delivery;Delivery;Baja;4-Baja;2/1/18 5:25:24 PM, NIIT.HPANDEY, Hi Team, we do not look this service. Please pass this to SERVICIOS_CKI_GAR who takes care of this.;MANTENIMIENTO IB.COM;INCIDENT;05/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;4;MANDOS;
INC000000985048;IBERIA;IBERIA;01/02/2018 9:45;19/02/2018 9:55;Resolved;BJSCICKM111 - Pl 1 Open Plan, Gerencia * 363/A1UE021009830 - PDF muy grandes;SSI;Service Ops Tower;Service Ops Tower;Media;2-Alta;resuelto;Unidad Control del Servicio;INCIDENT;19/02/2018;PRINTING FAILURE;;18;TERMINAL T4;DAMB_SE_RE.CIAS_AG.ADM (AHM0001A)
INC000000985049;IBERIA;IBERIA;01/02/2018 9:57;01/02/2018 9:57;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000985050;IBERIA;IBERIA;01/02/2018 10:12;01/02/2018 10:12;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000985083;IBERIA;IBERIA;01/02/2018 0:28;01/02/2018 0:28;Resolved;Llamada centralita;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se le proporciona al usuario el telefono que necesita para su pesquisa.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;;0;SIN IDENTIFICAR;
INC000000985088;IBERIA;IBERIA;01/02/2018 1:23;01/02/2018 1:23;Resolved;Llamada centralita;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se le proporciona al usuario el telefono que necesita para su pesquisa.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;;0;SIN IDENTIFICAR;
INC000000985089;IBERIA;IBERIA;01/02/2018 1:51;01/02/2018 8:57;Resolved;VUELOS NO VOLCADOS EN GS-CONNECT;AIRPORT2;Application Tower;Aeropuertos;Media;3-Medio;Hablamos con la usuaria quien nos confirma que está ok;Mantenimiento Aeropuertos;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;NEO-MARTINEZ VILLERGAS 49;NETWORK & CONNECTIONS SUP (ALS000AP)
INC000000985091;IBERIA;IBERIA;01/02/2018 1:49;02/02/2018 22:23;Resolved;Ha fallado el job D60O10F en zlc , avisar en horario laboral a USCIBMAM (amibmcap@iberia.es);USCIBMAM;Application Tower;Cobol Domain;Baja;4-Baja;Issue: Fallo D60O10F Impact: Bajo Root Causes: Fallo por no existencia de la tabla dimonca. Steps taken: Se relanza el proceso dado que parece un fallo puntual y termina ok el proceso.;Mantenimiento COBOL;INCIDENT;02/02/2018;PROCESS FAILURE;BATCH;1;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000000985094;IBERIA;IBERIA;01/02/2018 3:06;03/02/2018 22:45;Resolved;Usuario autologon bloqueado;IAG SITA Support;EUC;EUC;Alta;2-Alta;Tech Name: Alfonso Leon Time/Date on site: 02/01/2018 14:15:11 Time/Date off site: 02/01/2018 14:37:50 Resolution details: Autologon for user inmabcnko has lost password. Reconfigured autologon and PC works properly now. Release by IB user: Juan Bugallo;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;03/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;2;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA LARGO RA (ABLY00)
INC000000985097;IBERIA;IBERIA;01/02/2018 5:38;01/02/2018 15:52;Resolved;Solicita reset de usuario de RESIBER/AMADEUS;AIRPORT2;Application Tower;Aeropuertos;Media;3-Medio;Los PIDS van relacionados con un usuario. Si sólo existe un usuario para tres equipos, es imposible que funcione. Si se necesitan usuarios/PIDs para tres equipos (tienen uno, habría que solicitar 2 más), hay que hacerlo mediante una REQ. En si, esto no es una incidencia, por lo que se procede a cerrarla.;Mantenimiento Aeropuertos;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;
INC000000985098;IBERIA;IBERIA;01/02/2018 6:27;01/02/2018 10:16;Resolved;Problema de configuración del PC al ingreso de su correo;SSCCLMZ;Service Ops Tower;Service Ops Tower;Media;3-Medio;Nos llama el usuario, nos indica que la información ofrecida por el SSI no es correcta.;Unidad Control del Servicio;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;TERMINAL T4;JEFE EXPLOTACIÓN (AH1001)
INC000000985099;IBERIA;IBERIA;01/02/2018 6:42;01/02/2018 9:47;Resolved;SVU003 - NO SE VUELVCAN MATRICULAS YW;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Alta;2-Alta;Análisis de impacto: No aplica Acciones realizadas: Los procesos MQ de Medusa están parados, se reinician. Pruebas realizadas: Se comprueba que han salido 13000 mensajes y siguen saliendo.;Mantenimiento Operaciones;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;TERMINAL T4;ASIST.PAX T4_CECA_AG (AHMDS05A)
INC000000985100;IBERIA;IBERIA;01/02/2018 7:08;01/02/2018 13:41;Resolved;QSP están en blanco, Aparece un mensaje de error;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se reinicia el servicio, se contacta con la usuaria y confirma que está todo OK. Se cierra la incidencia;Unidad Control del Servicio;INCIDENT;12/02/2018;SOFTWARE FAILURE;;0;TERMINAL T4;U.A.C._INC.PASAJ._AG.ADM. (AHMDS07A)
INC000000985101;IBERIA;IBERIA;01/02/2018 6:45;01/02/2018 6:45;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;0;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);D. COMERCIAL Y SOPORTE (AM5000)
INC000000985102;IBERIA;IBERIA;01/02/2018 6:44;01/02/2018 6:44;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;0;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);Mantenimiento (TMI) NZI (1GV10024)
INC000000985103;IBERIA;IBERIA;01/02/2018 7:06;12/02/2018 11:08;Resolved;Pantallas superiores del mostrador de atención al cliente estan en blanco.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se reinicia el servicio, se contacta con la usuaria y confirma que está todo OK. Se cierra la incidencia;Unidad Control del Servicio;INCIDENT;12/02/2018;SOFTWARE FAILURE;;11;TERMINAL T4;U.A.C._INC.PASAJ._AG.ADM. (AHMDS07A)
INC000000985105;IBERIA;IBERIA;01/02/2018 7:19;01/02/2018 7:19;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;0;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);Seguridad NZI (1GV100SE)
INC000000985106;IBERIA;IBERIA;01/02/2018 7:17;02/02/2018 10:26;Resolved;[Gaudi Realtime] No aparecen los empleados cargados;AIRPORT2;Application Tower;Aeropuertos;Baja;4-Baja;Finalmente, de manera manual, en la BBDD Rostering RC Transfer en la tabla TB_RC_TO_RTC_TRANSFER se ha borrado el día de envío a Real Time y se ha comenzado a enviar de nuevo automáticamente. Confirmamos con los usuarios que la incidencia queda reuelta.;Mantenimiento Aeropuertos;INCIDENT;02/02/2018;SOFTWARE FAILURE;;1;TERMINAL T4;MYP_AG. ADM (AHMDM04A)
INC000000985107;IBERIA;IBERIA;01/02/2018 7:45;01/02/2018 7:45;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01/02/2018;ACCESS FAILURE;PASSWORD UNLOCK;0;SIN IDENTIFICAR;
