INC000000869443;IBERIA;21/06/2017 4:45;07/02/2018 13:13;Resolved;SCOM - on ibexp064nweb01.iberia.ib component nagios_Microsoft.Windows.Server.OperatingSystem ETM.Win;MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS;Server Tower;Server Tower;Baja;this issue has been resolved by Karl;Unidad de Operaciones Ordenadores;INCIDENT;07/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;231;MANDOS;
INC000000872087;IBERIA;26/06/2017 15:43;13/02/2018 9:08;Resolved;SIC011: Incidencia Faltan Vuelos en Bookings BCNMAD OBI;Aplicaciones BI;Application Tower;BI;Baja;Require reprocessing of data Lenghty reprocessing required for data;Mantenimiento BI;INCIDENT;13/02/2018;DATA ISSUE;;232;NEO-MARTINEZ VILLERGAS 49;BP FINANZAS COMERCIAL Y R (1FIC00)
INC000000876609;IBERIA;04/07/2017 5:09;20/02/2018 13:10;Resolved;LINUX_ibm - arsmidl2.ib : Filesystem opt-arsv7 esta ocupado al 98.07%. Abrir incidente via ARS a Her;Remedy /BMC Support;Application Tower;HerramientasIT;Media;The file system /opt/arsv7 is occupying only 46% on Linux server arsmidl2 which is very much acceptable value, hence closing the incident.;Mantenimiento Herramientas IT & DBAs;INCIDENT;20/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;231;MANDOS;
INC000000876709;IBERIA;04/07/2017 1:35;07/02/2018 13:15;Resolved;SCOM - on ieexp060padc01.ibexpress.ie component nagios_Microsoft.Windows.Server.LogicalDisk ETM.Wind;MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS;Server Tower;Server Tower;Media;this issue has been resolved by Karl;Unidad de Operaciones Ordenadores;INCIDENT;07/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;218;MANDOS;
INC000000882430;IBERIA;13/07/2017 9:02;22/02/2018 17:48;Resolved;Wire Confirmation - June invoice;EMAIL ENCRYPTION AND SECURITY;Server Tower;Server Tower;Baja;.;Unidad de Operaciones Ordenadores;INCIDENT;22/02/2018;SOFTWARE FAILURE;;224;NEO-MARTINEZ VILLERGAS 49;MNG. SEGUROS (1FFS00)
INC000000882561;IBERIA;13/07/2017 10:27;02/02/2018 6:19;Resolved;[CIP] Redención no muestra cabina Turista Premium;AM_MTO_IBCOM;Application Tower;Ib.com;Media;"2/2/2018 10:53:06 AM, NIIT.skumar3, Issue Description :CIP user cannot book the premium tourist category of flight as they are getting error in viewing fares. . Business impact :loyality Users facing problem while booking premium economy category.. Action taken : Checked and corrected some configuration in BBDD . 1/30/2018 9:27:40 PM, NIIT.skumar3, I have identified some configurations related to CABIN CLASS and changed on edicion environment which will be uploaded to delivery environment with nightly content job. We are hoping these configurations would fix the problem. So , we will check on delivery environment tomorrow morning and update you accordingly. 1/29/2018 8:32:21 PM, NIIT.skumar3, Found the configuration whcih is the main root of the problem , tested it in pre environment, but unable to test. So further will try to test the changes in edicion environment. 1/25/2018 9:08:29 PM, NIIT.skumar3, we have changed some configurations in BBDD and testing on pre environment. 1/23/2018 9:21:25 PM, NIIT.skumar3, We are getting error when try to login On-business user on Pre environment, I have tried on Pre-A and Pre-B both and also checked on multiple machines. Mail sent to gestconf team for checking. 1/22/2018 9:01:03 PM, NIIT.skumar3, checking in file where request is being prepared for sending to Commarch. Files CIPServiceBO.java and CIPRedemptionFareQuoteBOImpl.java 1/19/2018 4:43:00 PM, NIIT.skumar3, Tried to resolve by changing some values,configurations in table IB_CIP_BOOKING_CLASS_CABIN and cleared the cache on pre environment but did not impacted the issue. Problem is still occurring . Further checking other parameters 1/15/2018 9:16:01 PM, NIIT.skumar3, trying to replicate the problem in profiles environmnet and analying the logs. 1/12/2018 4:42:19 PM, NIIT.skumar3, Checking further and investigating where the problem is. 1/2/18 12:51:53 PM, NIIT.VKUMAR2, Hi, We have found action that is used to get redemption fare.There is error while getting fare observation.We are looking into it. Thanks 12/21/17 5:18:31 PM, NIIT.VKUMAR2, We are setting up environment for digging the middle ware code of this incidence. [2017/12/08]NIIT.chaitra Shared my analysis and have assigned it to Vivek to Take further action. Analyzed the incident and have [2017/12/04]NIIT.chaitra Requesting information regarding comarch settings. [2017/11/21]NIIT.chaitra Verifying the stored procedure along with Mona. [2017/11/13]NIIT.chaitra have enabled WCS log traces and analyzing the flow [201711/07] Analyzing the logs for different parameter values [2017/10/09]NIIT.chaitra Made an update in database table ""IB_CIP_BOOKING_CLASS_CABIN"" for Iberia airlines. Verifying the same on prea environments. 9/28/2017 10:12:03 PM, NIIT.SKUMAR6, Assigning to Vinod for further analysis of WCS prospectives 9/5/2017 8:34:32 PM, NIIT.SKUMAR6, Tried to replicate in Live environment, Issue is still exist. Will further investigate on code level. 9/5/2017 8:20:56 PM, NIIT.SKUMAR6, I tried on profile. Its working fine. No issue found as mentioned in ticket. 9/5/2017 7:46:16 PM, NIIT.SKUMAR6, Replicating it on profile environment for all scenarios because it can not be replicated on local. 9/5/2017 4:28:10 PM, NIIT.SKUMAR6, This service is taking parameters in JSON format not in Xml format. Comarch.out file is attached. we tried for two scenerios ,one is returned with success and other one getting error in response. 8/31/2017 8:43:35 PM, NIIT.SKUMAR6, We have checked and found the errorCode"":1011,""errorDescription"":""There is no award for the scheme operator, marketing airline and booking class provided"" coming as response from webservice Logs are extracted for reference. Please check at your side. 8/30/2017 1:24:35 PM, NIIT.SKUMAR6, Tried to replicate on local but seems test user is not working for local and another barrier is captcha, therefore not replicated. Tried and replicated in live. Identified the name of java files(Far";MANTENIMIENTO IB.COM;INCIDENT;02/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;204;MANDOS;
INC000000891877;IBERIA;01/08/2017 10:33;22/02/2018 17:24;Resolved;AZIHAGKM027 - 283/A1UF021006067 - no llegan los correos;EMAIL ENCRYPTION AND SECURITY;Server Tower;Server Tower;Baja;.;Unidad de Operaciones Ordenadores;INCIDENT;22/02/2018;PRINTING FAILURE;;205;EDIF.101 - HANGAR 3;APOYO SAT (AMNLL0F0)
INC000000892019;IBERIA;01/08/2017 13:27;09/02/2018 4:40;Resolved;Azz Shah IAG215 - booking annual leave;JAVA Apps Support;Application Tower;RRHH;Baja;Temporary issue. It is resolved now. Confirmed with user.;Mantenimiento Corporativa y RRHH;INCIDENT;09/02/2018;DATA ISSUE;;192;SIN IDENTIFICAR;
INC000000892924;IBERIA;03/08/2017 10:29;27/02/2018 21:39;Resolved;reloj de presencia no vuelca datos en PC;IAG SITA Support;EUC;EUC;Media;"""Tech Name: Jonathan Cevallos Time/Date on site: 2018-02-26 10:29:23 UTC Time/Date off site: 2018-02-26 10:40:00 UTC Resolution details: We reconfigured the ip address and checked with the user Yolanda the correct performance of the clock. Release by IB user: Yolanda """;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;27/02/2018;DEFAULT;DEFAULT;208;EDIF.103 - HANGAR 1;MNG. REV. AERONAVEGABILID (AIA000)
INC000000903149;IBERIA;25/08/2017 10:07;08/02/2018 8:57;Resolved;[CARGO PORTAL] MRN IB6456/25AUG;CARGO-PORTAL;Application Tower;CARGO;Media;08.25-Mail sent to user that WE have checked the AWB and below is the error message CC316 that is logged in the log. <FUNERRER1><ErrTypER11>12</ErrTypER11><ErrPoiER12>GDS(1).CE2.CouCE225</ErrPoiER12><ErrReaER13>CL8</ErrReaER13><OriAttValER14>RS</OriAttValER14></FUNERRER1></ie:CC3 16A> Seems that have incorrect country code Please correct and re-send ENS again Could you please re-send the ENS for AWB 30862786. 08.25-Mail sent to user that please send the ENS of the AWB 145-05325994 and provide the confirmation once all looks ok. 08.25-MAil sent to user that We have checked and found that AWB 075-42533046 has following error “<FUNERRER1><ErrTypER11>12</ErrTypER11><ErrPoiER12>GDS(1).CE2.CouCE225</ErrPoiER12><ErrReaER13>CL8</ErrReaER13><OriAttValER14>PR</OriAttValER14></FUNERRER1></ie:CC316A>” during MRN generation. After that we have send ENS from our end than the MRN of the AWB 075- 42533046 of flight IB6456/25AUG. PFB screenshot;Mantenimiento Cargo;INCIDENT;08/02/2018;SOFTWARE FAILURE;;167;SIN IDENTIFICAR (MADRID BARAJAS);T.C.MAD- DOCUM. (AGDM00MA)
INC000000906300;IAG CARGO;31/08/2017 14:56;16/02/2018 13:30;Resolved;ITSC Notification - Ticket 508069 has been placed on Holding queue HOLDIB;IAG EUC Remote Support;EUC;EUC;Media;Cordialmente, Mohananand S TCS-IAG EUC Services From: TCS.Senthilkumar S, Mohananand Sent: viernes, 16 de febrero de 2018 13:30 To: Alan Dorling <alan.dorling@ba.com> Cc: IAGOffshore-O365Desktop <IAGOffshore-O365Desktop@iberia.es> Subject: RE: INC000000906300-TSC Notification - Ticket 508069 has been placed on Holding queue HOLDIB Hello Alan, We are from the remote team of Iberia EUC, we contact you for INC000000906300-TSC Notification - Ticket 508069 has been placed on Holding queue HOLDIB We have tried to contact you at 07500767854/ +44 (0)208 738 4234 , without getting any response. Please provide us with an additional phone number or the time you are available to receive our call. We are looking forward to your response. Cordialmente, Mohananand S TCS-IAG EUC Services From: TCS.Subramani, Naveen Sent: jueves, 15 de febrero de 2018 9:37 To: Alan Dorling Cc: IAGOffshore-O365Desktop Subject: RE: INC000000906300-TSC Notification - Ticket 508069 has been placed on Holding queue HOLDIB Hello Alan, We are from the remote team of Iberia EUC, we contact you for INC000000906300-TSC Notification - Ticket 508069 has been placed on Holding queue HOLDIB We have tried to contact you at 07500767854/ +44 (0)208 738 4234 , without getting any response. Please provide us with an additional phone number or the time you are available to receive our call. We are looking forward to your response. Cordialmente, Naveen TCS-IAG EUC Services;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;16/02/2018;SOFTWARE FAILURE;;169;S122;
INC000000908105;IBERIA;04/09/2017 11:31;07/02/2018 12:39;Resolved;descuentos a amigos de empleados,;SSI;Service Ops Tower;Service Ops Tower;Baja;Se cierra la incidencia debido a la antiguedad y falta de seguimiento por parte de usuario.;Unidad Control del Servicio;INCIDENT;07/02/2018;SOFTWARE FAILURE;;156;SIN IDENTIFICAR;
INC000000911046;IBERIA;08/09/2017 17:00;05/02/2018 13:19;Resolved;Assistance Required : FR - IBERIA Outstanding invoice - AVIAPARTNER;USCIBMAM;Application Tower;Cobol Domain;Baja;Solicitadas aclaraciones, al no poder facilitar casos actuales se entiende que fue un problema puntual y no se continua produciendo.;Mantenimiento COBOL;INCIDENT;05/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;150;SIN IDENTIFICAR;
INC000000913423;BRITISH AIRWAYS;13/09/2017 12:19;06/02/2018 11:17;Resolved;CDGEG1 -RESIBER-Access Issue;SSI;Service Ops Tower;Service Ops Tower;Media;;Unidad Control del Servicio;INCIDENT;12/02/2018;DEFAULT;;146;SIN IDENTIFICAR;
INC000000914821;IBERIA;15/09/2017 15:55;23/02/2018 15:13;Resolved;Fallo Peoplesoft:FICHAJES INCLUIDOS DENTRO DE INCIDENCIA BOLSA DE HORAS RDJ;PeopleSoft Apps Support;Application Tower;RRHH;Baja;Se corrige en 9.2. No se consigue replicar en entornos 9.1;Mantenimiento Corporativa y RRHH;INCIDENT;23/02/2018;DATA ISSUE;;161;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);SM SOPORTE A LA OP_CTROL (AMIC00CP)
INC000000917076;IBERIA;20/09/2017 8:58;07/02/2018 8:32;Resolved;[IPM003] - ZIALB4 Al modificar disposición si eliminas una de las dos columnas, desaparecen las dos;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Baja;Buenos Días Los cambios de código se han movido a producción. Por favor verifique y déjenos saber si necesita alguna ayuda adicional. Vamos a proceder a cerrar la incidencia.;Mantenimiento Dir. Técnica;INCIDENT;07/02/2018;SOFTWARE FAILURE;;140;TALLER MOTORES;GESTIÓN DE MATERIALES (AMITJ0CB)
INC000000917784;IBERIA;21/09/2017 9:25;07/02/2018 12:43;Resolved;P09: Problemas Billetes free al intentar hacer una reserva para diciembre;SSI;Service Ops Tower;Service Ops Tower;Baja;Se intenta contactar con el usuario, al telefono proporcionado, pero no hay respuesta. 0033646605316 Se cierra la incidencia debido a la antigüedad de la misma y la falta de seguimiento de esta. Si el problema persiste, por favor, contactar con la misma referencia y aportando el error actual que esta sufriendo.;Unidad Control del Servicio;INCIDENT;07/02/2018;SOFTWARE FAILURE;;139;SIN IDENTIFICAR (PARIS);Portfolio Manager Francia (ACW2F0S0)
INC000000920393;IBERIA;26/09/2017 11:24;19/02/2018 12:36;Resolved;[TRYP]:Incidencia Cambios TURNOS TRYP;AIRPORT2;Application Tower;Aeropuertos;Baja;CRQ000000108060;Mantenimiento Aeropuertos;INCIDENT;19/02/2018;SOFTWARE FAILURE;;146;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);MANAGER CLIENTES ALTO VAL (ALCO00)
INC000000923255;IBERIA;02/10/2017 11:03;20/02/2018 13:21;Resolved;Incidencia portal SGSI (SEG005) - No permite enviar cuestionario de seguriad actualizado;Security & IT Apps Support;Application Tower;HerramientasIT;Media;we have sent security questionnaire to responsible;Mantenimiento Herramientas IT & DBAs;INCIDENT;20/02/2018;SOFTWARE FAILURE;;141;SISTEMAS(MANDOS-ANÁLISIS-PRODU;SEGURIDAD DE LA INF Y ARQ (ASS000CP)
INC000000924653;IBERIA;04/10/2017 12:28;07/02/2018 12:57;Resolved;PROBLEMA REALIZACIÓN CURSO RECURSO PREVENTIVO;SSI;Service Ops Tower;Service Ops Tower;Baja;Se cierra la incidecia debido a la antigüedad de la misma y la falta de seguimiento por parte del usuario. Si el problema persiste, por favor aporte los siguientes datos para reabrir esta misma referencia: Link de acceso a la plataforma de cursos. Pantallazo del error:;Unidad Control del Servicio;INCIDENT;07/02/2018;SOFTWARE FAILURE;;126;BCN AEROPUERTO;TMA JEFE MECANICA (AMNLB0AA)
INC000000925794;IBERIA;06/10/2017 9:58;06/02/2018 13:15;Resolved;BSAFE users unable to login (root cause);BA_ITSC;Service Ops Tower;Service Ops Tower;Media;;Unidad Control del Servicio;INCIDENT;12/02/2018;SOFTWARE FAILURE;;123;SISTEMAS(MANDOS-ANÁLISIS-PRODU;MNG. SOPORTE DE APLICACIO (ASXAG1)
INC000000926828;IBERIA;09/10/2017 12:54;07/02/2018 13:00;Resolved;La usuaria no puede cerrar la sesión en IBPROXIMA;SSI;Service Ops Tower;Service Ops Tower;Media;Se cierra la incidecia debido a la antigüedad de la misma y la falta de seguimiento por parte del usuario. Si el problema persiste, por favor aporte los siguientes datos para reabrir esta misma referencia: Sucede en un solo ordenador o distintos. Franja horaria del suceso. Fecha del suceso.;Unidad Control del Servicio;INCIDENT;07/02/2018;SOFTWARE FAILURE;;121;SIN IDENTIFICAR;
INC000000928595;IBERIA;12/10/2017 12:15;08/02/2018 7:34;Resolved;No funciona la Aprobación de viajes de servicio;JAVA Apps Support;Application Tower;RRHH;Baja;Temporary issue that took place in October. Ticket transferred yesterday from a wrong queue.;Mantenimiento Corporativa y RRHH;INCIDENT;08/02/2018;DATA ISSUE;;119;SISTEMAS(MANDOS-ANÁLISIS-PRODU;SEN MNG OPERACIONES SIS. (ASXAGR)
INC000000929259;IBERIA;13/10/2017 20:46;22/02/2018 17:20;Resolved;SAV006 - No llegan las alertas de correos;EMAIL ENCRYPTION AND SECURITY;Server Tower;Server Tower;Media;Quedamos pendientes del feedback de uuarios.;Unidad de Operaciones Ordenadores;INCIDENT;22/02/2018;SOFTWARE FAILURE;;132;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);MAINTROL (AMNLR00C)
INC000000930544;IBERIA;17/10/2017 9:22;26/02/2018 16:48;Resolved;AMO001 - (EXT 179021) Calculo TSN/CSN a pasado con errores;FNO-MANTENIMIENTO TERCEROS;Application Tower;FLIGHT OPERATIONS;Baja;Análisis de impacto: No aplica. Acciones realizadas: Tras muchas pruebas y cambios de versión incluida vemos que en algunos componentes el cálculo es incorrectos y en estos componentes hay una discrepancia entre la fecha de instalación y la fecha del contador maestro de referencia que parece provocar una variación en los ciclos y horas del cálculo. Pruebas realizadas: Pruebas en varios entornos/versiones con el mismo resultado;Mantenimiento Operaciones;INCIDENT;26/02/2018;SOFTWARE FAILURE;;132;NEO-MARTINEZ VILLERGAS 49;MNG. INGENIERIA MOTORES (APXA02)
INC000000930558;IBERIA;16/10/2017 18:16;07/02/2018 13:14;Resolved;Hoja de Escala: Incidencia - Se corta la información de MXP y VGO;SSI;Service Ops Tower;Service Ops Tower;Baja;"[SSI] Se contacta con el usuario y nos confirma que podemos cerrar la incidencia, ya que no se puede repetir el error que aparecia con MXP; se ha probado con otra escala y funciona correctamente.";Unidad Control del Servicio;INCIDENT;07/02/2018;SOFTWARE FAILURE;;114;NEO-MARTINEZ VILLERGAS 49;D. TCP (AB0000)
INC000000931549;IBERIA;18/10/2017 15:54;01/02/2018 17:51;Resolved;CUA001:OBI Informe PNRs Cortados;Aplicaciones BI;Application Tower;BI;Media;Análisis: se estudia el alcance Acciones: comprobaciones obi, odi, bd y gestiones con equipo ib.com Pruebas: No aplica;Mantenimiento BI;INCIDENT;01/02/2018;SOFTWARE FAILURE;;106;SISTEMAS(MANDOS-ANÁLISIS-PRODU;MNG. SOPORTE DE APLICACIO (ASXAG1)
INC000000931843;IBERIA;19/10/2017 8:42;09/02/2018 11:36;Resolved;crash en la app desde hace un tiempo (txt. adjunto) que está afectando al login de los servicios ant;Ibcom_apps;Application Tower;Movilidad;Baja;The new application (V7.4.8) is available in google play store. Fix for the issue is available in this version.;MANTENIMIENTO IB.COM;INCIDENT;09/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;113;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000932029;IBERIA;19/10/2017 13:10;19/02/2018 16:26;Resolved;PANTALLA DE ORDENES DE PRIORIDAD: No funciona;USV_NON_SAP_APPS;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;ACCIONES: Cerramos la incidencia ya que esta funcionalidad no está soportada por soporte aplicaciones.;Mantenimiento Dir. Técnica;INCIDENT;19/02/2018;HARDWARE FAILURE;;123;TALLER MOTORES;RECEPCION Y SERVICIOS AUX (AMITM0AA)
INC000000933548;IBERIA;23/10/2017 13:39;15/02/2018 16:51;Resolved;Weblogic PAtrol KM is not collecting data;MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS;Server Tower;Server Tower;Media;restarted weblogic collectors. Long term fix is to upgrade KM and PatrolAgent.;Unidad de Operaciones Ordenadores;INCIDENT;15/02/2018;PROCESS FAILURE;;115;SISTEMAS(MANDOS-ANÁLISIS-PRODU;MANAGER OPERACIONES (ASXA00)
